,Text,Speaker,Season
489, Because you didnt follow my instructions!,Walter,1
490, Long story. Lets just say it starts with my parents being greedy kleptomaniac douchebags.,Jesse,5
491, Damn...,Jesse,3
492, Yeah? You shot an ounce? In a day and a half?,Jesse,2
493, There was no fugue state. I remember everything. The truth is I couldnt stand to spend another second in that house. I just had to...get out. And so I left. I didnt think about it I just did it. I walked for a long time and when I couldnt walk anymore I hitchhiked. I got as far as Gallup. And then it was just time to come home.,Walter,3
494, [sarcastically] Ooh this is the guy youd hire.,Walter,3
495, $480000. Sauls cut is 20%.,Walter,3
496, Its clean.,Jesse,3
497, Long story. Lets just say it starts with my parents being greedy kleptomaniac douchebags.,Jesse,3
498, Thats not how it happened.,Hank,3
499, Look its got five bullets. I finally figured out how to...[Jesse struggles to open the gun]...look I just finally...[Jesse gives up]...I figured it out. I say we get a second gun. Right? For you? I mean dont we like double our chances? I mean mathematically?,Jesse,2
500, Yeah. Thats pretty much the size of it.,Walter,3
501, Look its got five bullets. I finally figured out how to...[Jesse struggles to open the gun]...look I just finally...[Jesse gives up]...I figured it out. I say we get a second gun. Right? For you? I mean dont we like double our chances? I mean mathematically?,Hank,4
502, I dont even know what...,Jesse,4
503, I know but theres a problem.,Hank,3
504, What you said in the desert I get it. What you meant. I deserve whatever happens.,Hank,5
505, $600000 each.,Hank,2
506, You have a good rest of your life kid.,Hank,4
507, Jesse...Jesse...Your body is running dangerously low on electrolytes. Sodium potassium calcium...and when theyre gone your brain ceases to communicate with the muscles. Your lungs stop breathing. Your heart stops pumping. You go marching out there and within an hour you will be dead.,Walter,2
508, - No dont you see how great this is? Look you.. You are a --,Walter,2
509, A junkyard? Let me guess you picked this place?,Hank,1
510, Im no Vito Corleone.,Walter,3
511, You got something for me?,Jesse,4
512, Oh shit.,Hank,1
513, Partners in what? What exactly do you do here Ive been meaning to ask. Because Im the producer right? I cook. But from what I can tell you are just a drug addict! You are a pathetic junkie too stupid to understand and follow simple rudimentary instructions! Too stupid to–,Walter,2
514, Badgers cousin took it to his garage. Its safe.,Hank,5
515, Whatever it is Im afraid to know.,Skyler,5
516, Alright I will admit to a bit of a learning curve.,Walter,3
517, Mr. White you kicked its ass yo! [Walter motions for Jesse to quiet down] No! You must be so psyched!,Hank,5
518, What are you talking about?,Hank,5
519, The game has changed yo. This is our city alright? All of it. The whole damn place. Our territory. Were staking our claim. Yo we sell when we want where we want. Were gonna be kings understand? Well Im gonna be king and you guys will be like princes or dukes or something.,Hank,4
520, Oh thank God!,Hank,3
521, You got something for me?,Hank,4
522, I deserve this.,Jesse,5
523, It is impeccable. It is the purest most chemically sound product on the market anywhere.,Walter,3
524, Nothing nothing.,Walter,3
525, What?,Hank,3
526, Crack him over the head with something? [Walter sarcastically holds up a fly swatter],Walter,3
527, Jesse look at me you are a blow fish.,Walter,3
528, Well my guess was Gretchen Schwartz. Something was going on between you. I just knew.,Skyler,4
529, I dont vote for this plan. Im not comfortable bringing in unknown entities into our operation.,Walter,3
530, With whom? Who am I having an affair with?,Walter,3
531, The bottle. Now.,Walter,4
532, Like come on! Man youre smart! All right you made poison out of beans yo! Look weve got an entire lab right here. How about you take some of these chemicals and mix up some... some rocket fuel that way we could just send up a signal flare. Or you make some kind of robot to get us help... or a homing device... or building a battery... [Walts eyes snap open] Or what if we just take some stuff off of the RV and build it into something completely different? You know like a... like a dune buggy! And that way we could just dune buggy our... [Walt sits up] What? Hey... what is it? What?,Jesse,5
533, Dont shoot!,Hank,5
534, No please no! God please no! Oh God I dont wanna die!,Hank,3
535, Its a whole lot of cheddar.,Hank,3
536, Why do you do it?,Walter,1
537, Yeah three shots or I dunno two?,Jesse,2
538, Dude! No way!,Jesse,5
539, Think think. Lets just bum rush him man. You know you crack him over the head with something and Ill go for his gun.,Hank,3
540, Honey we have been over this. Asked and answered right? There–,Walter,4
541, Badgers cousin took it to his garage. Its safe.,Jesse,2
542, How much?,Hank,2
543, Oh cmon this is bullshit! I mean look at this dude alright? He doesnt even know what planet hes living on!,Jesse,2
544, Your half? There is no your half of the money! There is only my all of it do you understand?! Why why should I be penalized because of your sloppiness?!,Walter,4
545, Yeah? Jesus how the hell do you spell street wrong? S-T-R-E-A-T?,Jesse,2
546, Okay now we...I mean what do we...Oh! Hey I almost forgot. [Jesse hands Walter a paper bag filled with money] So how do you want to...yknow...proceed in light of this kickass news?,Jesse,5
547, Sooner or later this is gonna happen. If you want your exponential growth guys are gonna get busted. Simple as that.,Jesse,5
548, Yes. Yes he was.,Walter,2
549, Yeah. I would waste him too yo.,Jesse,4
550, What the f...?,Walter,3
551, Pay phone middle of nowhere nobody followed. So howd it go?,Hank,5
552, And the RV?,Walter,3
553, Look you remember Emilio? Kay this dude got Emilio off like twice. Kay both times they had him dead to rights yo and then poof. Dudes like Houdini. Seriously when the going gets tough you dont want a criminal lawyer all right? You want a criminal lawyer. You know what Im saying?,Hank,3
554, Yo Im really sorry okay?,Hank,5
555, Right on little bro! Making mad in-roads with the business community.,Hank,1
556, How much?,Hank,5
557, No look I know this isnt an optimal situation...,Hank,2
558, What are you talking about?,Hank,2
559, No man he doesnt know shit okay? The plan worked. He bought it. I got bills due man. Im screwed.,Jesse,3
560, No? Thats not the point?,Hank,4
561, Oh cmon this is bullshit! I mean look at this dude alright? He doesnt even know what planet hes living on!,Hank,2
562, Well back when Elliott and I were in grad school we came up with the name. Schwartz black. Walter White. So together they became Gray Matter Technologies.,Walter,1
563, I sat here yesterday waiting to meet with someone. I believe that person was you.,Walter,3
564, Who said anything about you?,Hank,4
565, Look I know some guys alright? I can create a network. Look we control production and distribution. That way we stay off the front lines while moving some serious glass. I mean the point here is to make money right? Sky high stacks!,Hank,2
566, Gone to your lymph nodes.,Hank,1
567, Yeah three shots or I dunno two?,Jesse,4
568, And now what shall we use to conduct this beautiful current with hm? What one particular element comes to mind hm? [Walter holds up a copper wire] Hmm?,Walter,2
569, And now what? You decided to oh I dont know make your eldest son homeless? Wow great family mom!,Jesse,3
570, Okay two shots. Two shots in the chest two shots in the face what?,Walter,2
571, No he just walks backwards.,Jesse,5
572,,Hank,4
573, Pay phone middle of nowhere nobody followed. So howd it go?,Jesse,4
574, Jesus I dont wanna die! NO!,Hank,3
575, Right on. New Zealand thats where they uh thats where they made Lord of the Rings! I say we just move there yo! I mean you could do your art right? Like you could like paint the local castles and shit and I can be a bush pilot!,Hank,2
576, So youre going to what? Snort meth off a bowie knife? Youre gonna beat your homies to death when they dis you?,Walter,3
577, Yeah three shots or I dunno two?,Hank,2
578, Oh we are dead. Dead men! Muerto or muerte or however the hell you...Jesus...,Hank,5
579, That must be it!,Walter,5
580, Yeah yeah I got a bunch of em!,Hank,5
581, After we finish cleaning up this mess we will go our separate ways. Our paths will never cross and we will tell this to no one. Understood?,Walter,1
582, Look that is completely uncool alright? We agreed 50/50 partners!,Jesse,3
583, Your what? What is that?,Walter,4
584, Of course. I am.,Walter,2
585, I dont know. But you gotta convince me and youre going nowhere until you do.,Walter,1
586, Yo you wanna go shopping go do it yourself alright? I got plans.,Hank,5
587, There was no fugue state. I remember everything. The truth is I couldnt stand to spend another second in that house. I just had to...get out. And so I left. I didnt think about it I just did it. I walked for a long time and when I couldnt walk anymore I hitchhiked. I got as far as Gallup. And then it was just time to come home.,Walter,5
588, I remember oh I remember. That you cook I sell. That was the division of labor when we started all this. And thats exactly how we should have kept it! Cause I sure as hell didnt find myself locked in a trunk or on my knees with a GUN to my head before your greedy old ass came along alright?,Hank,5
589, Alright fine facts in. Fact A my phone rang like eight times last night. Dead air hang-ups every time. Second fact? Like three in the morning I saw that black Caddy of his cruising my neighborhood. No headlights.,Hank,3
590, What?,Hank,4
591, Okay.,Jesse,4
592, No man he doesnt know shit okay? The plan worked. He bought it. I got bills due man. Im screwed.,Hank,2
593, With whom? Who am I having an affair with?,Walter,2
594, I deserve this.,Jesse,4
595, Your aunt...How bad was she when they caught it?,Walter,1
596, Weve had some extenuating circumstances.,Walter,4
597, Yo its me. Is this a good time?,Jesse,3
598, Tuco...,Walter,3
599, Why?,Hank,5
600, Look you remember Emilio? Kay this dude got Emilio off like twice. Kay both times they had him dead to rights yo and then poof. Dudes like Houdini. Seriously when the going gets tough you dont want a criminal lawyer all right? You want a criminal lawyer. You know what Im saying?,Hank,2
601, Funyuns are awesome.,Jesse,3
602, Yeah yeah I got a bunch of em!,Jesse,2
603, Man cmon!,Jesse,5
604, White residence.,Walter,3
605, Why would I do that?,Walter,3
606, The dude needs his eye candy ...,Hank,5
607, Thats awesome! Serious? Thats...thats...thats great man! My aunt she never...I mean yknow at your stage I didnt even think that could happen.,Hank,4
608, All right all right...,Jesse,3
609, When? Skyler I was medicated. I mean I could have said the world was flat.,Walter,5
610, I remember oh I remember. That you cook I sell. That was the division of labor when we started all this. And thats exactly how we should have kept it! Cause I sure as hell didnt find myself locked in a trunk or on my knees with a GUN to my head before your greedy old ass came along alright?,Jesse,4
611, Yes. Yes he was.,Walter,4
612, The blow fish puffs up okay? The blow fish puffs himself up four five times larger than normal but why? Why does he do that? Because it makes him intimidating thats why. Intimidating so that the other scarier fish are scared off and thats you. You are a blow fish. Dont you see? Its just all–all an illusion. Its nothing but air. Now who messes with the blow fish Jesse?,Walter,3
613, No look I know this isnt an optimal situation...,Hank,3
614, Alright say we set up one last sale this is providing he doesnt decide to waste us before then. Now every time we bring in a new batch he always tests the product right? So as his head is down yknow giving it a snort just pop pop pop!,Jesse,4
615, ...A battery.,Walter,5
616, You are always the picture of innocence.,Walter,5
617, $600000 each.,Hank,3
618, I woke up. I found her. Thats all I know.,Jesse,2
619, Hey I said I was sorry alright? I just need my half of the money and Ill go!,Hank,5
620, Pop pop pop? So three shots?,Walter,3
621, The bottle. Now.,Walter,3
622, Okay... [gets up],Walter,2
623, How much what?,Walter,3
624, Nice job wearing the pants.,Walter,5
625, Look that is completely uncool alright? We agreed 50/50 partners!,Jesse,5
626, I dont care. We agreed...[Skyler walks by]...no amount of pay-per-view channels is going to make a difference. Honey were happy with our cable provider right? Yep were happy. [Walter hangs up],Walter,5
627, Skyler...,Walter,3
628, Are you actually this stupid...,Walter,4
629, What?,Jesse,4
630, Yeah yeah this is gonna help big time with that. BITCH!,Jesse,4
631, No no Tuco!,Walter,3
632, I need support. Me the almost forty year old pregnant woman with the surprise baby on the way. And the husband with lung cancer who disappears for hours on end and I dont know where he goes and he barely even speaks to me anymore. With the moody son who does the same thing. And the overdrawn checking account. And the lukewarm water heater that leaks rusty looking crap and is rotting out the floor of the utility closet and we cant even afford to fix it! But oh I see! Now Im supposed to go Hank please what can I possibly do to further benefit my spoiled kleptomaniac bitch sister who somehow always manages to be the center of attention? Cause God knows shes the one with the really important problems!,Skyler,4
633, Uh yeah?,Jesse,5
634, No I am just trying to understand how this works!,Walter,4
635, Ha!,Walter,3
636, You tell me Skyler. You tell me exactly what it is you think Im lying about. What an affair? Im having an affair? Is that what you think?,Walter,5
637, Prove it. Pee in that.,Walter,5
638, Oh thank God!,Hank,5
639, Yo you wanna go shopping go do it yourself alright? I got plans.,Jesse,4
640, I sat here yesterday waiting to meet with someone. I believe that person was you.,Walter,5
641, Oh I mean...,Hank,5
642, in rushing tone] I woke up. I found her. Thats all I know. I woke up. I found her. Thats all I know.,Jesse,4
643, in rushing tone] I woke up. I found her. Thats all I know. I woke up. I found her. Thats all I know.,Jesse,3
644, No look I know this isnt an optimal situation...,Hank,5
645, Nobody.,Jesse,2
646, Okay dont talk Walt! Shut up and say something that isnt complete bullshit! You want to know what you have to do? You have to tell me whats really going on right now – today. No more excuses no more apologies no more of these...these obvious desperate breakfasts! You dont wanna lose contact with me Walt? Good. Then tell me. Now.,Skyler,2
647, Tuco? no man ... no more Taco... I got bills man.,Hank,5
648, Look its got five bullets. I finally figured out how to...[Jesse struggles to open the gun]...look I just finally...[Jesse gives up]...I figured it out. I say we get a second gun. Right? For you? I mean dont we like double our chances? I mean mathematically?,Hank,2
649, Yo.,Jesse,1
650, No why dont you grow up mom? Jenny wanted me here! Alright I was the one who took care of her. Alright I took her to her appointments and made her lunch everyday. I earned this!,Hank,4
651, No.,Walter,5
652,,Jesse,1
653, How about we get him a real attorney? I mean what the hell is this? This is who he hires?,Walter,3
654, I want you to handle it.,Walter,4
655, Okay.,Jesse,5
656, No? Thats not the point?,Jesse,2
657, Tuco...,Walter,4
658, Yeah yeah this is gonna help big time with that. BITCH!,Jesse,2
659, Um...well its kind of funny. When I got my diagnosis – cancer – I said to myself yknow Why me? And then the other day when I got the good news I said the same thing. [The party guests are silent with confusion] Anyway uh thank you for coming and...enjoy.,Walter,4
660, What I came to realize is that fear thats the worst of it. Thats the real enemy. So get up. Get out in the real world. And you kick that bastard as hard as you can right in the teeth.,Walter,2
661, [squints eyes at Jesse] Youve got bills?,Walter,3
662, Rent yo. Responsibilities and what not. Ive already lost more than Ive made and I am tired of dicking around out here. [takes a sip of his beer],Hank,2
663, What are you waiting for? Bring it back!,Walter,3
664, You got something for me?,Hank,2
665, Were not charging enough.,Walter,4
666, Think think. Lets just bum rush him man. You know you crack him over the head with something and Ill go for his gun.,Jesse,5
667, What are you doing?,Walter,5
668, Yo man look Im off the heroin. I didnt even like it anyway it made me sick. And the meth yknow I could take it or leave it. Im clean Mr. White. For real.,Jesse,5
669, You mean good? You mean like good good? You mean like remission good?,Jesse,2
670, Nice job wearing the pants.,Walter,2
671, Thats your excuse? To build your little empire on my work?,Walter,2
672, I mean two would probably work I guess yeah.,Hank,2
673, Look its got five bullets. I finally figured out how to...[Jesse struggles to open the gun]...look I just finally...[Jesse gives up]...I figured it out. I say we get a second gun. Right? For you? I mean dont we like double our chances? I mean mathematically?,Jesse,4
674, What? You kidding me? This is the guy you want. This is the guy Id hire.,Hank,5
675, What you said in the desert I get it. What you meant. I deserve whatever happens.,Jesse,5
676, Alright Ive got the Talking Pillow now. Okay? We all in this room love each other. We want whats best for each other and I know that. I am very thankful for that. But...what I want...what I want what I need is a choice.,Walter,1
677, Have a seat. Please. [Gus sits down across from Walt] I would like to know why you wouldnt meet with me yesterday.,Walter,5
678, Long story. Lets just say it starts with my parents being greedy kleptomaniac douchebags.,Hank,3
679, Of course I do. Skyler youve read the statistics. These doctors...talking about surviving. One year two years like its the only thing that matters. But what good is it to just survive if I am too sick to work to enjoy a meal to make love? For what time I have left I want to live in my own house. I want to sleep in my own bed. I dont wanna choke down 30 or 40 pills every single day lose my hair and lie around too tired to get up...and so nauseated that I cant even move my head. And you cleaning up after me? Me...some dead man some artificially alive...just marking time? No. No. And thats how you would remember me. Thats the worst part. So...that is my thought process Skyler. Im sorry. I just...I choose not to do it.,Walter,1
680, Whats it feel like?,Jesse,4
681, Oh we are dead. Dead men! Muerto or muerte or however the hell you...Jesus...,Jesse,5
682, We got to be Tuco. Alright cut out the middle man run our own game.,Jesse,3
683, You need to cut out all your loser crybaby crap right now and think of something scientific!,Jesse,5
684, No.,Walter,2
685, I dont care. We agreed...[Skyler walks by]...no amount of pay-per-view channels is going to make a difference. Honey were happy with our cable provider right? Yep were happy. [Walter hangs up],Walter,3
686, Mr. White you kicked its ass yo! [Walter motions for Jesse to quiet down] No! You must be so psyched!,Hank,3
687, What you said in the desert I get it. What you meant. I deserve whatever happens.,Jesse,2
688, Cancer. You got it right?,Jesse,1
689, So what? Youre just doing this out of the kindness of your heart?,Walter,4
690, Why?,Hank,2
691, Why?,Jesse,2
692, Right on. New Zealand thats where they uh thats where they made Lord of the Rings! I say we just move there yo! I mean you could do your art right? Like you could like paint the local castles and shit and I can be a bush pilot!,Jesse,3
693, Oh I mean...,Jesse,4
694, Im just saying if you ever...saw your way clear to...you know you and I...cooking a little more.,Hank,1
695, Hank has offered to help since you shouldnt be doing any heavy lifting.,Skyler,2
696, Look I know some guys alright? I can create a network. Look we control production and distribution. That way we stay off the front lines while moving some serious glass. I mean the point here is to make money right? Sky high stacks!,Hank,4
697, What? You kidding me? This is the guy you want. This is the guy Id hire.,Jesse,4
698, Yo Im really sorry okay?,Jesse,4
699, Okay dont talk Walt! Shut up and say something that isnt complete bullshit! You want to know what you have to do? You have to tell me whats really going on right now – today. No more excuses no more apologies no more of these...these obvious desperate breakfasts! You dont wanna lose contact with me Walt? Good. Then tell me. Now.,Skyler,5
700, Okay now we...I mean what do we...Oh! Hey I almost forgot. [Jesse hands Walter a paper bag filled with money] So how do you want to...yknow...proceed in light of this kickass news?,Hank,3
701, What? You kidding me? This is the guy you want. This is the guy Id hire.,Hank,2
702, Dont shoot!,Jesse,3
703, Yeah thats the thing yknow? Your scumbag brother-in-law took my rainy day fund.,Hank,2
704, This is conjecture.,Walter,5
705, Alright fine facts in. Fact A my phone rang like eight times last night. Dead air hang-ups every time. Second fact? Like three in the morning I saw that black Caddy of his cruising my neighborhood. No headlights.,Jesse,4
706, How significant?,Jesse,4
707, No why dont you grow up mom? Jenny wanted me here! Alright I was the one who took care of her. Alright I took her to her appointments and made her lunch everyday. I earned this!,Jesse,3
708, I need support. Me the almost forty year old pregnant woman with the surprise baby on the way. And the husband with lung cancer who disappears for hours on end and I dont know where he goes and he barely even speaks to me anymore. With the moody son who does the same thing. And the overdrawn checking account. And the lukewarm water heater that leaks rusty looking crap and is rotting out the floor of the utility closet and we cant even afford to fix it! But oh I see! Now Im supposed to go Hank please what can I possibly do to further benefit my spoiled kleptomaniac bitch sister who somehow always manages to be the center of attention? Cause God knows shes the one with the really important problems!,Skyler,3
709, Skyler...Skyler dont do this please. I...I...Skyler please dont go. [Skyler tries to close the car door but Walter stops her] If I tell you the truth will you stay? Stay and I will tell you everything.,Walter,2
710, Do you... do you have any money? Change I mean coins?,Walter,2
711, And the RV?,Walter,2
712, Whats it feel like?,Hank,4
713, Adjusting for inflation – good state college – adjusting for inflation say $45000 a year two kids four years of college...$360000. Remaining mortgage on the home $107000. Home equity line $30000 thats $137000. Cost of living food clothing utilities – say two grand a month? I mean that should put a dent in it anyway. 24K a year provides for say ten years. Thats $240000 plus 360 plus 137...737. $737000 thats what I need. That is what I need. You and I both clear about 70 grand a week. Thats only ten and a half more weeks. Call it eleven. Eleven more drug deals and always in a public place from now on. Its doable. Definitely doable.,Walter,5
714, What are you talking about?,Jesse,5
715, What?,Walter,4
716, Whats going on?,Skyler,3
717, Pee in it! Theyre selling testing kits at the drug stores. If you are clean I will give you every last dime. [Jesse is silent] No huh? Well I guess until then youll just have to depend on the kindness of strangers to get high. That and your little junkie girlfriend.,Walter,3
718, Mr. White? Are you smoking weed? Oh my God! Wait a minute is that my weed? What the hell man? Make yourself at home why dont you?,Hank,1
719, No look I know this isnt an optimal situation...,Hank,4
720, Seven months. I get it now. Thats why youre doing all this. You want to make some cash for your people before you check out.,Hank,1
721, I dont know. To like...touch base.,Hank,1
722, Youre damn right.,Walter,4
723, Its weird is all okay? It doesnt compute. Listen if youve gone crazy or something; I mean if youve gone crazy or depressed Im just saying thats something I need to know about. Okay? I mean that affects me.,Jesse,1
724, Yeah thats the thing yknow? Your scumbag brother-in-law took my rainy day fund.,Jesse,2
725, Marie...,Skyler,2
726, The game has changed yo. This is our city alright? All of it. The whole damn place. Our territory. Were staking our claim. Yo we sell when we want where we want. Were gonna be kings understand? Well Im gonna be king and you guys will be like princes or dukes or something.,Jesse,5
727, A wire? You want a wire? I got a wire. [grabs crotch] Speak into the mic bitch! What the hells wrong with you? A wire.,Hank,1
728, No thanks for caring.,Jesse,3
729, Hey I said I was sorry alright? I just need my half of the money and Ill go!,Jesse,5
730, Hey hey! What the hell yo? I thought this was just a wake-up call!,Jesse,5
731, Okay two shots. Two shots in the chest two shots in the face what?,Walter,3
732, Gather them. And–and–and washers and nuts and bolts and screws and whatever little pieces of metal we can think of that is galvanized – it has to be galvanized – or–or solid zinc.,Walter,5
733, You mean good? You mean like good good? You mean like remission good?,Jesse,4
734, I dont know.,Hank,4
735, Jesus Skyler. Get me a Bible to swear on if thats what it takes. I am not having an affair with Gretchen!,Walter,2
736, Nobody.,Jesse,3
737, Oh what I can talk now? [pause] Fine! That goes double for me!,Jesse,1
738, My rainy day fund $68000 okay? Cue ball son of a bitch laughed in my face. Now I got like eighty bucks to my name.,Jesse,3
739, Oh well heil Hitler bitch! And let me tell you something else. We flipped a coin okay? You and me. You and me! Coin flip is sacred! Your job is waiting for you in that basement as per the coin!,Jesse,1
740, No no Tuco!,Walter,4
741, Yeah yeah I got a bunch of em!,Jesse,4
742, Yeah yeah yeah thats it. While you were cooking you know he was watching one of those uh those uh telenovels yknow with all those ripe honeys on it? Yknow he was really into it. I told you not to change the channel man! Yknow dude needs his eye candy. Thats it!,Jesse,4
743, What?,Jesse,2
744, You said you were just doing some ride-along! Yes or no do you have a brother in the DEA?,Hank,1
745, But then it got me thinking again about the all the strange behavior. Not the least of which was the disappearance. Out of my mind with worry calling hospitals checking the morgue. Your fugue state? I had to believe that didnt I? I had to find a way. I mean who would lie about such a thing?,Skyler,3
746, I beg your pardon? This is a partnership remember?,Walter,4
747, No pseudo.,Walter,1
748, What are you talking about?,Jesse,2
749, Badgers cousin took it to his garage. Its safe.,Jesse,4
750, No man he doesnt know shit okay? The plan worked. He bought it. I got bills due man. Im screwed.,Jesse,4
751, I know but theres a problem.,Hank,5
752, Eh.,Walter,4
753, I dont understand. What exactly are you offering to do for me?,Walter,5
754, Nothing. Im sorry I just...,Jesse,5
755, Alright tell you what. Both of you pull it out your butts right now or I go grab a flashlight and some pliers and go exploring.,Hank,4
756, Okay two shots. Two shots in the chest two shots in the face what?,Walter,5
757, You have a good rest of your life kid.,Jesse,5
758, So whatre you saying? Like I shot someone with like a gun?,Hank,5
759, ...Do it...,Walter,2
760,,Jesse,2
761, Nothing nothing.,Walter,5
762, And now what? You decided to oh I dont know make your eldest son homeless? Wow great family mom!,Hank,5
763, [squints eyes at Jesse] Youve got bills?,Walter,2
764, - No dont you see how great this is? Look you.. You are a --,Walter,4
765, Thats awesome! Serious? Thats...thats...thats great man! My aunt she never...I mean yknow at your stage I didnt even think that could happen.,Jesse,2
766, Alright say we set up one last sale this is providing he doesnt decide to waste us before then. Now every time we bring in a new batch he always tests the product right? So as his head is down yknow giving it a snort just pop pop pop!,Jesse,2
767, Great.,Walter,1
768, One pound is not going to cut it. You have to take two.,Walter,1
769, Do you... do you have any money? Change I mean coins?,Walter,5
770, No if he wanted to kill us he would have done it at the junkyard.,Walter,5
771, No I am just trying to understand how this works!,Walter,5
772, How much?,Hank,3
773, I woke up. I found her. Thats all I know.,Hank,4
774, God...,Walter,4
775, You mean good? You mean like good good? You mean like remission good?,Jesse,5
776, Pop pop pop? So three shots?,Walter,5
777, Dude! No way!,Jesse,2
778, How much?,Jesse,3
779, Oh my conjecture isnt helping?,Jesse,2
780, Hey I said I was sorry alright? I just need my half of the money and Ill go!,Jesse,3
781, Yeah yeah this is gonna help big time with that. BITCH!,Hank,2
782, No if he wanted to kill us he would have done it at the junkyard.,Walter,3
783, Partners in what? What exactly do you do here Ive been meaning to ask. Because Im the producer right? I cook. But from what I can tell you are just a drug addict! You are a pathetic junkie too stupid to understand and follow simple rudimentary instructions! Too stupid to–,Walter,3
784, Whats going on?,Skyler,2
785, Mr. White you kicked its ass yo! [Walter motions for Jesse to quiet down] No! You must be so psyched!,Jesse,5
786, Eh.,Walter,5
787, You got something for me?,Hank,3
788, Dont shoot!,Hank,3
789, Yeah so...so where do you transact business? Enlighten me.,Walter,1
790, And–and–and bring me... brake pads! The front wheels should have discs. Take them off and bring them to me.,Walter,4
791, $480000. Sauls cut is 20%.,Walter,5
792, ...Do it...,Walter,5
793, Can he get it running again?,Walter,4
794, Right on. New Zealand thats where they uh thats where they made Lord of the Rings! I say we just move there yo! I mean you could do your art right? Like you could like paint the local castles and shit and I can be a bush pilot!,Hank,5
795, I dont know. I swear I dont know. I no I it maybe it was I did change the channel on his TV but uh...,Walter,2
796, Im no Vito Corleone.,Walter,2
797, Yo man look Im off the heroin. I didnt even like it anyway it made me sick. And the meth yknow I could take it or leave it. Im clean Mr. White. For real.,Jesse,3
798, The blow fish puffs up okay? The blow fish puffs himself up four five times larger than normal but why? Why does he do that? Because it makes him intimidating thats why. Intimidating so that the other scarier fish are scared off and thats you. You are a blow fish. Dont you see? Its just all–all an illusion. Its nothing but air. Now who messes with the blow fish Jesse?,Walter,4
799, ...to come to my house and park on my street driving this vehicle? I mean what the hell is wrong with you?! Im really asking!,Walter,3
800, Yeah? Jesus how the hell do you spell street wrong? S-T-R-E-A-T?,Hank,5
801, Yes!,Jesse,4
802, Cyber-begging thats all that is. Just rattling a little tin cup to the entire world.,Walter,2
803, Doctor my wife is seven months pregnant with a baby we didnt intend. My fifteen-year old son has cerebral palsy. I am an extremely overqualified high school chemistry teacher. When I can work I make $43700 per year. I have watched all of my colleagues and friends surpass me in every way imaginable. And within eighteen months I will be dead. And you ask why I ran?,Walter,5
804,   ,Marie,3
805, Oh I know. I know youre not. Cause I asked her. It really took me forever to get in touch with her. She was ducking my calls for weeks. So I finally left a message What exactly is going on between you and my husband? I thought thatd get her attention and it did. So she called me back and she finally told me. The money? For your treatment? Gretchen and Elliott didnt give you a dime. They paid for nothing. You refused every offer they made you but that didnt make sense because I checked with Delcavoli in the hospital and not including your surgery were nearly paid up. Over $100000. Out of where? Out of thin air? But then I called your mother. Yeah. Thanks for that too. But I thought yknow maybe she has some money that I dont know about? Maybe she contributed? Its possible. It turns out that not only is the money not your mother she didnt even know that you have cancer. You never went to see her. I dropped you at the airport I picked you up you were gone for four days and yet she swears that you were never there. Lies on top of lies on top of lies.,Skyler,4
806, What would you know about me Gretchen? What would your presumption about me be exactly? That I should go begging for your charity and you waving your checkbook around like some magic wand is going to make me forget how you and Elliott – how you and Elliott – cut me out?,Walter,2
807, ...Do it...,Walter,4
808, Doctor my wife is seven months pregnant with a baby we didnt intend. My fifteen-year old son has cerebral palsy. I am an extremely overqualified high school chemistry teacher. When I can work I make $43700 per year. I have watched all of my colleagues and friends surpass me in every way imaginable. And within eighteen months I will be dead. And you ask why I ran?,Walter,2
809, You dont know. You know why you dont know? Because you dont think! Thats why! You dont think! You never figured out how to think did you big man?,Walter,3
810, What? You kidding me? This is the guy you want. This is the guy Id hire.,Jesse,5
811, Yeah three shots or I dunno two?,Hank,3
812, No no it cannot be blind luck or some imaginary relative who saves us. No I earned that money. Me! And now my son created his own website – SaveWalterWhite.com. Soliciting anonymous donations. Do you have any idea how that makes me feel?,Walter,2
813, Whats changed Jesse?,Walter,2
814,,Skyler,5
815, Rent yo. Responsibilities and what not. Ive already lost more than Ive made and I am tired of dicking around out here. [takes a sip of his beer],Jesse,5
816, Your half? There is no your half of the money! There is only my all of it do you understand?! Why why should I be penalized because of your sloppiness?!,Walter,2
817, Oh I mean...,Jesse,2
818, Look you remember Emilio? Kay this dude got Emilio off like twice. Kay both times they had him dead to rights yo and then poof. Dudes like Houdini. Seriously when the going gets tough you dont want a criminal lawyer all right? You want a criminal lawyer. You know what Im saying?,Jesse,3
819, Nobody.,Hank,3
820, Ha!,Walter,4
821, But then it got me thinking again about the all the strange behavior. Not the least of which was the disappearance. Out of my mind with worry calling hospitals checking the morgue. Your fugue state? I had to believe that didnt I? I had to find a way. I mean who would lie about such a thing?,Skyler,5
822, Why?,Jesse,4
823, Pee in it! Theyre selling testing kits at the drug stores. If you are clean I will give you every last dime. [Jesse is silent] No huh? Well I guess until then youll just have to depend on the kindness of strangers to get high. That and your little junkie girlfriend.,Walter,2
824, Yes. Yes he was.,Walter,3
825, What?,Jesse,5
826, You got something for me?,Jesse,3
827, I woke up. I found her. Thats all I know.,Jesse,3
828, How about the basement?,Walter,3
829, Okay two shots. Two shots in the chest two shots in the face what?,Walter,4
830, What if Skyler had seen you huh? What then? What was the plan then genius? Hm?,Walter,3
831, What is wrong with you? Why are you blue? Aw Jesus...,Walter,5
